Address,Opening,Closing,Latitude,Longitude
"676 Jefferson ave (vacant) , Rochester, NY",7898.0,,,
"70 Kingston , Rochester, NY",6652.0,70000.0,43.1614255,-77.5673875
"173 knickerbocker ave, Rochester, NY",16285.0,80000.0,43.194541,-77.6419926
"20 kohlman st, Rochester, NY",17110.0,40000.0,43.1819245,-77.6129985
"81 Kosciusko st, Rochester, NY",6090.0,40000.0,43.1850567,-77.59706
"554-566 lake ave (commercial vacant), Rochester, NY",5448.0,29000.0,,
"532 lake ave , Rochester, NY",14151.0,11000.0,43.1746812,-77.6291815
"114 le frois st, Rochester, NY",14945.0,85000.0,43.1885593,-77.5931474
"238 Lexington ave , Rochester, NY",11459.0,55000.0,43.1794977,-77.6357362
"695 Lexington ave , Rochester, NY",4373.0,50000.0,43.1790898,-77.6488082
"75 lime st, Rochester, NY",3448.0,4000.0,43.1613616,-77.6372259
"48 Lincoln st (vacant), Rochester, NY",26285.0,,,
"7 lochner pl, Rochester, NY",9344.0,40000.0,43.1742782,-77.5908752
"62 locust st, Rochester, NY",6445.0,30000.0,43.1745341,-77.635906
"73 Louise st, Rochester, NY",10257.0,40000.0,43.1610887,-77.6507337
"24 lyceum st, Rochester, NY",5334.0,65000.0,43.1766467,-77.5675942
"22 maltby st, Rochester, NY",4812.0,85000.0,43.1598332,-77.6604037
"49 Maxson st, Rochester, NY",12012.0,95000.0,43.1604233,-77.5629058
"29 miller st, Rochester, NY",10253.0,75000.0,43.1723953,-77.590552
"84 miller st, Rochester, NY",5764.0,50000.0,43.1750252,-77.5885803
"1231-1233 n Clinton av , Rochester, NY",32740.0,85000.0,43.15772622923359,-77.60665706655172
"1422-1424 n Clinton ave , Rochester, NY",11510.0,60000.0,43.15772622923359,-77.60665706655172
"64 Nellis pk, Rochester, NY",22084.0,65000.0,43.1387169,-77.6276104
"71 Normandy ave , Rochester, NY",6396.0,70000.0,43.1459939,-77.6449212
"34 Normandy ave , Rochester, NY",7401.0,115000.0,43.1467694,-77.6443271
"623-625 north st, Rochester, NY",5633.0,,43.168913475259885,-77.5987222074167
"752 north st, Rochester, NY",5633.0,45000.0,43.1717496,-77.5968504
"114 northland ave, Rochester, NY",10098.0,66000.0,43.1816271,-77.579104
"589 Norton st, Rochester, NY",4759.0,60000.0,43.1863846,-77.6076309
"20 Oakland st, Rochester, NY",6051.0,165000.0,43.1396984,-77.6038177
"28 Oscar st, Rochester, NY",12275.0,60000.0,43.1833658,-77.611439
"301 Otis st, Rochester, NY",,,43.1684057,-77.646827
"56 pardee st, Rochester, NY",42750.0,,43.1813871,-77.6092767
"33 Peckham st , Rochester, NY",4454.0,45000.0,43.1852029,-77.6021146
"330 planet st, Rochester, NY",11002.0,145000.0,43.1770918,-77.6666411
"30 Princeton st , Rochester, NY",4957.0,35000.0,43.1726272,-77.6150399
"44 quamina dr, Rochester, NY",16659.0,45000.0,43.1724381,-77.6061046
"38 radio st , Rochester, NY",6253.0,30000.0,43.1757201,-77.6145142
"11 reed pk , Rochester, NY",21381.0,,43.1729317,-77.5988688
"550 Remington st, Rochester, NY",21595.0,55000.0,43.1863552,-77.611078
"389 Remington , Rochester, NY",2316.0,4100.0,43.1830749,-77.611211
"385 Remington , Rochester, NY",7115.0,45000.0,43.1829914,-77.6112173
"37 rogers ave, Rochester, NY",5788.0,60000.0,43.1678767,-77.646136
"120 rosemary dr, Rochester, NY",12635.0,65000.0,43.180798,-77.5844734
"42 Roth st, Rochester, NY",16312.0,40000.0,43.1757209,-77.617516
"1086 s Clinton  ave, Rochester, NY",12317.0,205000.0,43.137305,-77.5938912
"50 sander st, Rochester, NY",7471.0,60000.0,43.1717178,-77.5864741
"209 Saratoga av, Rochester, NY",11156.0,50000.0,43.1685904,-77.6325289
"73 Saratoga av, Rochester, NY",1400.0,3200.0,43.1633284,-77.6275318
"249 Saratoga av , Rochester, NY",5729.0,,43.1700616,-77.6335254
"327 sawyer st, Rochester, NY",9154.0,,43.1348255,-77.6418603
"22 Scrantom st, Rochester, NY",9518.0,50000.0,43.1725929,-77.6207161
"199 Sherman st, Rochester, NY",10935.0,40000.0,43.1681976,-77.6383684
"307 Sherman st, Rochester, NY",5232.0,40000.0,43.1703185,-77.6389421
"16-18 Sherwood ave, Rochester, NY",53874.0,,43.1444566,-77.64697875
"66 Sidney st, Rochester, NY",5930.0,70000.0,43.1617975,-77.570468
"101 silver st, Rochester, NY",3599.0,40000.0,43.1531985,-77.6337912
"333 sixth st (religious), Rochester, NY",7310.0,30000.0,,
"180 sixth st, Rochester, NY",11865.0,50000.0,43.1701955,-77.5823203
"274-276 smith st, Rochester, NY",23230.0,115000.0,43.16493555558955,-77.6222513773066
"19 Sullivan st, Rochester, NY",30124.0,,43.1740119,-77.6115305
"46 Sullivan st , Rochester, NY",36910.0,,43.1743797,-77.6098952
,,,46.3144754,11.0480288
